                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6566,                 4.2163,                 5.3972,                0.00584,                0.31768,                0.01789,                0.00193,                 5.1421,                 5.7603,                 5.2526,             0.00032867,             0.00032867,             0.00032867
                      2,                 2.7409,                 3.1993,                 4.4635,                0.00584,                0.31768,                0.01789,                0.00193,                 5.2417,                 5.8196,                 5.4214,              0.0006708,              0.0006708,              0.0006708
                      3,                 2.3333,                 2.6988,                 3.7008,                0.00584,                0.31768,                0.01789,                0.00193,                 5.2236,                 5.5086,                 5.4839,              0.0010121,              0.0010121,              0.0010121
                      4,                 2.1638,                 2.4312,                 3.4847,                0.00584,                0.31768,                0.01789,                0.00193,                 5.2305,                 5.3216,                 5.4936,              0.0013525,              0.0013525,              0.0013525
                      5,                 1.9956,                 2.3013,                 3.2908,                0.00584,                0.31768,                0.01789,                0.00193,                 5.1867,                 5.2211,                 5.5113,              0.0014219,              0.0014219,              0.0014219
                      6,                 1.8941,                 2.1895,                 3.1934,                0.00441,                0.32136,                0.00568,                0.00317,                 2.7216,                 5.5882,                 3.5271,              0.0014219,              0.0014219,              0.0014219
                      7,                 1.7852,                 1.9998,                 3.0531,                0.83811,                0.29098,                0.17633,                0.10633,                 1.4299,                 2.0142,                 2.6545,              0.0014202,              0.0014202,              0.0014202
                      8,                 1.6648,                 1.8596,                  2.937,                 0.9792,                0.29056,                0.29976,                0.25023,                 1.1013,                 1.6707,                 2.3137,              0.0014184,              0.0014184,              0.0014184
                      9,                 1.5746,                 1.7286,                 2.8247,                0.82696,                0.32505,                0.27284,                0.16277,                 2.3162,                 1.8454,                 4.0109,              0.0014166,              0.0014166,              0.0014166
                     10,                 1.4274,                 1.5414,                 2.6999,                0.85211,                0.32505,                 0.2859,                0.25519,                 1.2349,                 2.3054,                 2.4908,              0.0014149,              0.0014149,              0.0014149
                     11,                  1.362,                 1.4292,                 2.6471,                0.97862,                0.30894,                0.31264,                0.27371,                 0.9542,                 1.4495,                 2.2812,              0.0014131,              0.0014131,              0.0014131
                     12,                 1.3895,                 1.4115,                 2.6745,                0.98869,                0.32413,                0.32309,                0.30132,                0.76892,                 2.3208,                 2.0566,              0.0014113,              0.0014113,              0.0014113
                     13,                 1.2371,                  1.307,                 2.5257,                0.98617,                0.31903,                0.31763,                0.28551,                 1.1919,                 1.2716,                 2.2635,              0.0014095,              0.0014095,              0.0014095
                     14,                 1.1798,                 1.2011,                 2.4521,                 0.6533,                0.32228,                0.31634,                0.28567,                 1.0323,                0.88069,                 2.0804,              0.0014078,              0.0014078,              0.0014078
                     15,                 1.1849,                 1.1458,                 2.4222,                0.65472,                0.32206,                0.31558,                0.25336,                 1.0994,                 1.2494,                 2.1522,               0.001406,               0.001406,               0.001406
                     16,                 1.0819,                 1.1159,                 2.3275,                0.32047,                0.32505,                0.31945,                0.28591,                0.83533,                 1.1784,                  1.934,              0.0014042,              0.0014042,              0.0014042
                     17,                 1.0229,                 1.0381,                 2.2436,                 0.3219,                0.32413,                0.32079,                0.29379,                0.69046,                0.76382,                 1.7726,              0.0014025,              0.0014025,              0.0014025
                     18,                0.96532,                0.94658,                 2.2025,                0.32279,                 0.3232,                0.32358,                0.28229,                0.68374,                0.90271,                  1.865,              0.0014007,              0.0014007,              0.0014007
                     19,                0.96428,                0.92295,                 2.1627,                0.32086,                0.32505,                 0.3218,                0.25366,                0.81756,                 1.2127,                 1.6731,              0.0013989,              0.0013989,              0.0013989
                     20,                0.90994,                0.86772,                 2.0911,                0.32146,                  0.324,                0.32438,                 0.2894,                0.58475,                0.70598,                 1.6067,              0.0013972,              0.0013972,              0.0013972
                     21,                0.87678,                0.82792,                 2.0775,                0.32155,                0.32228,                0.32007,                0.28722,                0.51921,                 0.7733,                 1.4676,              0.0013954,              0.0013954,              0.0013954
                     22,                0.82015,                0.81119,                 1.9811,                0.32102,                0.32413,                0.32223,                0.28315,                0.62101,                 1.1305,                  1.707,              0.0013936,              0.0013936,              0.0013936
                     23,                0.79745,                0.78738,                 1.9393,                0.32254,                 0.3232,                0.32094,                0.31459,                0.47837,                0.58343,                 1.3682,              0.0013919,              0.0013919,              0.0013919
                     24,                0.74625,                0.73738,                 1.9156,                0.32231,                0.32413,                0.32389,                0.29335,                0.58295,                0.83125,                 1.5197,              0.0013901,              0.0013901,              0.0013901
                     25,                0.76963,                0.72682,                 1.9173,                0.32124,                0.32505,                0.32338,                0.29142,                0.61866,                0.63577,                 1.4825,              0.0013883,              0.0013883,              0.0013883
                     26,                0.71009,                0.70549,                 1.8566,                0.32024,                0.32413,                0.32184,                0.30773,                0.41086,                0.55628,                  1.258,              0.0013866,              0.0013866,              0.0013866
                     27,                 0.6957,                0.70378,                 1.8197,                0.32131,                0.32505,                0.32329,                0.31789,                0.47735,                0.53764,                  1.253,              0.0013848,              0.0013848,              0.0013848
                     28,                  0.679,                0.66366,                 1.7623,                0.32052,                0.32413,                0.32174,                0.31592,                0.38583,                0.61651,                  1.132,               0.001383,               0.001383,               0.001383
                     29,                0.65364,                0.66069,                 1.7683,                0.31958,                0.32505,                0.32303,                0.31502,                0.41822,                0.72288,                 1.2058,              0.0013813,              0.0013813,              0.0013813
                     30,                 0.6869,                0.70604,                 1.7762,                0.32043,                0.32413,                0.32366,                0.31875,                 0.4518,                0.56533,                 1.1732,              0.0013795,              0.0013795,              0.0013795
                     31,                0.62973,                0.65477,                 1.6819,                0.32131,                 0.3232,                0.32026,                0.30603,                0.50654,                0.52275,                 1.2474,              0.0013777,              0.0013777,              0.0013777
                     32,                0.61007,                 0.6095,                 1.6875,                0.31798,                0.32422,                0.32114,                0.31552,                0.38184,                0.46375,                 1.0853,              0.0013759,              0.0013759,              0.0013759
                     33,                0.57043,                 0.5974,                 1.6214,                0.32118,                0.32413,                0.32103,                0.31166,                0.45563,                0.46896,                 1.2017,              0.0013742,              0.0013742,              0.0013742
                     34,                0.55054,                0.59089,                 1.5808,                0.32285,                 0.3232,                0.32503,                0.31832,                0.43334,                0.46173,                 1.1177,              0.0013724,              0.0013724,              0.0013724
                     35,                 0.5406,                0.59862,                 1.5748,                0.32144,                0.32348,                0.32657,                0.32155,                0.33328,                 0.5093,                 1.0011,              0.0013706,              0.0013706,              0.0013706
                     36,                0.54996,                0.55184,                 1.5544,                0.32087,                0.32413,                 0.3246,                0.32044,                0.47429,                0.56564,                 1.1748,              0.0013689,              0.0013689,              0.0013689
                     37,                 0.5239,                0.53984,                 1.5279,                0.31967,                0.32505,                0.32556,                0.32103,                0.40016,                0.49948,                 1.0874,              0.0013671,              0.0013671,              0.0013671
                     38,                0.54223,                0.52728,                 1.5368,                0.32036,                0.32505,                0.32386,                0.31265,                0.39678,                0.46079,                 1.1157,              0.0013653,              0.0013653,              0.0013653
                     39,                0.50756,                0.52319,                 1.5049,                0.32265,                0.32413,                0.32667,                 0.3222,                 0.4374,                0.57475,                 1.1164,              0.0013636,              0.0013636,              0.0013636
                     40,                0.49516,                0.50035,                 1.4787,                0.32149,                0.32502,                0.32199,                 0.2983,                0.48724,                 0.5294,                 1.2149,              0.0013618,              0.0013618,              0.0013618
                     41,                0.48859,                0.52264,                 1.4603,                0.32146,                0.32414,                0.32595,                0.31898,                0.32642,                 0.4702,                 1.0038,                0.00136,                0.00136,                0.00136
                     42,                0.51925,                0.49406,                 1.4713,                0.32142,                0.32413,                0.32392,                0.32048,                 0.2894,                0.44985,                 1.0267,              0.0013583,              0.0013583,              0.0013583
                     43,                0.51178,                0.52778,                 1.4931,                0.32148,                0.32455,                0.32072,                0.31617,                0.27678,                0.38916,                  0.962,              0.0013565,              0.0013565,              0.0013565
                     44,                0.48887,                0.49243,                 1.4407,                0.32242,                 0.3232,                0.32362,                0.31949,                 0.4103,                0.42305,                 1.0645,              0.0013547,              0.0013547,              0.0013547
                     45,                0.50464,                0.49352,                 1.4411,                0.32132,                0.32505,                0.32242,                0.31848,                0.31288,                0.78482,                0.96763,               0.001353,               0.001353,               0.001353
                     46,                0.49088,                0.46831,                  1.439,                0.32347,                 0.3232,                0.32163,                0.31008,                 0.3429,                0.52629,                 1.0914,              0.0013512,              0.0013512,              0.0013512
                     47,                0.52575,                0.51263,                 1.4829,                0.32433,                0.32413,                 0.3236,                0.31956,                0.31936,                0.47327,                 1.0087,              0.0013494,              0.0013494,              0.0013494
                     48,                0.49325,                0.47482,                 1.4364,                0.32221,                 0.3232,                0.32413,                0.31529,                0.27935,                0.37149,                 1.0064,              0.0013477,              0.0013477,              0.0013477
                     49,                0.47494,                0.48578,                 1.3875,                0.32287,                 0.3232,                0.32354,                0.32021,                0.28737,                0.58539,                0.96778,              0.0013459,              0.0013459,              0.0013459
                     50,                0.48872,                0.45914,                 1.4043,                0.32267,                0.32413,                 0.3251,                0.29922,                0.39365,                0.39536,                 1.0166,              0.0013441,              0.0013441,              0.0013441
                     51,                0.48343,                0.46209,                 1.4408,                0.32321,                0.32324,                0.32579,                0.32175,                0.28594,                0.34268,                0.95781,              0.0013423,              0.0013423,              0.0013423
                     52,                0.48262,                0.48046,                 1.4058,                 0.3219,                0.32413,                0.31779,                0.31322,                0.35612,                 0.4026,                 1.0237,              0.0013406,              0.0013406,              0.0013406
                     53,                0.44889,                0.46495,                 1.3564,                0.32145,                0.32413,                0.32374,                0.31721,                0.29526,                0.35311,                 1.0327,              0.0013388,              0.0013388,              0.0013388
                     54,                0.44866,                0.46157,                 1.3463,                0.32126,                0.32413,                0.32371,                0.29548,                0.40768,                0.62406,                 1.0309,               0.001337,               0.001337,               0.001337
                     55,                0.46339,                0.44187,                 1.3773,                0.32322,                0.32355,                0.32629,                 0.3216,                0.35593,                0.40974,                0.98086,              0.0013353,              0.0013353,              0.0013353
                     56,                0.44359,                0.43177,                 1.3553,                0.32266,                 0.3232,                0.32456,                0.32088,                0.28993,                0.44117,                 1.0391,              0.0013335,              0.0013335,              0.0013335
                     57,                 0.4599,                0.45144,                 1.3608,                 0.3206,                0.32447,                0.32603,                0.30837,                0.30207,                0.40885,                 1.0036,              0.0013317,              0.0013317,              0.0013317
                     58,                0.47663,                0.45732,                 1.3786,                0.32236,                0.32469,                0.32644,                0.32155,                0.32387,                 0.4975,                0.95989,                0.00133,                0.00133,                0.00133
                     59,                 0.4513,                0.43493,                 1.3365,                0.32146,                0.32411,                0.32666,                0.31974,                0.30605,                0.45863,                0.95474,              0.0013282,              0.0013282,              0.0013282
                     60,                 0.4289,                 0.4193,                 1.3215,                0.32502,                0.32382,                0.32674,                0.31976,                0.26553,                0.34649,                0.99815,              0.0013264,              0.0013264,              0.0013264
                     61,                0.41604,                0.41724,                 1.3086,                0.32083,                0.32505,                0.32434,                0.31945,                0.32092,                0.37675,                0.98555,              0.0013247,              0.0013247,              0.0013247
                     62,                 0.4127,                0.43196,                 1.2869,                0.32061,                0.32488,                0.32215,                0.31404,                0.31901,                0.43712,                 1.0394,              0.0013229,              0.0013229,              0.0013229
                     63,                 0.4146,                 0.3956,                 1.2873,                0.32324,                 0.3232,                0.32857,                0.32161,                0.35645,                0.39522,                 1.0214,              0.0013211,              0.0013211,              0.0013211
                     64,                0.40312,                0.39954,                 1.2839,                0.32232,                 0.3235,                 0.3252,                0.31864,                 0.3106,                0.38246,                 1.0114,              0.0013194,              0.0013194,              0.0013194
                     65,                0.41695,                0.40802,                  1.293,                0.32235,                0.32439,                0.32516,                0.31921,                0.40724,                0.40662,                 1.1019,              0.0013176,              0.0013176,              0.0013176
                     66,                0.42053,                0.40651,                 1.2959,                0.32371,                0.32505,                0.32589,                0.31743,                0.38065,                0.40122,                 1.0529,              0.0013158,              0.0013158,              0.0013158
                     67,                0.40934,                0.39353,                 1.2871,                0.32448,                0.32413,                0.32775,                0.30647,                0.35566,                0.35641,                0.96675,              0.0013141,              0.0013141,              0.0013141
                     68,                0.40203,                0.40666,                 1.2656,                0.32149,                0.32505,                0.32641,                0.31962,                0.32399,                0.41616,                 1.0069,              0.0013123,              0.0013123,              0.0013123
